name	unit
SHALDEX	UNITE
SOCOMOL	UNITE
"SOLUTION PHYSIOLOGIQUE 0,9%"	FLACON
STAINED SALMONELLA WIDAL	UNITE
TANZOL	UNITE
TANZOL 400MG	UNITE
TESTE TIGETE	UNITE
TETRACYCLINE	CAPSULE
THIAMINE 100 MG	UNITE
TRAMADOL INJECTABLE	FLACON
TRAMADOL 50 MG CAPSULE	UNITE
TRAMADOL 50 MG INJECTABLE	FLACON
TRIBEX INJECTABLE	UNITE
TRIBEX COMPRIME	UNITE
TRIBEX FORT GELULES	UNITE
TROIS PLUS FORT INJECTABLE	FLACON
TROUSSE PERFUSION	UNITE
TUBE LEOPARD	UNITE
TULL GRAS	UNITE
VIFEX SIROP	UNITE
VIT K3 INJECTABLE	FLACON
VITAMINE B1 COMPRIME	UNITE
VITAMINE BCO INJECTABLE	FLACON
VITAMINE C COMPRIME	UNITE
VITAMINE C INJECTABLE	FLACON
ZINC COMPRIME (CAZINC)	UNITE
	
	
	
	
	
	
	
	
	
	
	
